EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4
4204.358886999999,4197.692383,4200.256348,4213.461426,4199.871582,4192.94873,4216.538574,4215.0,4207.563965,4203.846191,4186.282227000001,4168.077147999999,4197.307617,4203.846191
4201.666504,4199.743652,4210.769043,4215.512695,4200.512695,4204.358886999999,4218.077147999999,4227.820313,4210.384765999999,4207.563965,4189.743652,4172.307617,4201.410156,4205.641113000001
4210.256348,4217.563965,4210.384765999999,4217.179688,4212.179688,4223.589844,4209.871582,4217.179688,4203.974121,4204.743652,4191.538574,4165.0,4205.897461,4206.282227000001
4224.230957,4230.384765999999,4211.282227000001,4226.282227000001,4220.128418,4210.128418,4204.871582,4211.153809,4201.282227000001,4200.384765999999,4191.794922,4167.05127,4204.358886999999,4207.307617
4224.871582,4234.871582,4214.230957,4233.205078,4216.153809,4180.641113000001,4202.05127,4190.128418,4196.025879,4191.666504,4183.589844,4167.692383,4193.333496,4203.461426
4221.538574,4243.077147999999,4212.692383,4238.461426,4213.846191,4187.692383,4198.077147999999,4184.615234000001,4201.153809,4191.025879,4177.307617,4160.128418,4184.230957,4198.077147999999
4222.820313,4247.563965,4212.179688,4240.769043,4210.897461,4197.307617,4201.794922,4233.846191,4215.897461,4199.615234000001,4179.743652,4164.615234000001,4179.615234000001,4195.256348
4209.102539,4233.589844,4204.871582,4228.205078,4203.333496,4185.128418,4208.589844,4245.769043,4203.461426,4189.358886999999,4170.128418,4162.307617,4165.769043,4185.0
4191.410156,4222.820313,4188.974121,4215.897461,4208.974121,4194.358886999999,4202.179688,4188.333496,4186.922852000001,4174.487305,4151.922852000001,4142.94873,4152.563965,4173.461426
4201.410156,4231.153809,4191.794922,4221.025879,4216.153809,4201.282227000001,4207.563965,4203.205078,4206.538574,4187.307617,4157.436035,4146.025879,4160.384765999999,4181.538574
