0,1,2,3,4,5,6,7,8,9,10,11,12,13
4222.308,4294.487,4243.59,4223.974,4208.077,4196.282,4214.487,4237.308,4196.026,4189.103,4238.59,4233.59,4215.769,4270.128
4213.077,4287.179,4242.821,4221.538,4202.308,4197.436,4217.179,4255.385,4207.308,4197.692,4237.564,4230.769,4216.41,4269.615
4213.205,4282.051,4240.385,4220.0,4204.231,4210.897,4215.0,4244.359,4203.462,4202.051,4240.641,4231.538,4216.667,4269.615
4213.59,4281.795,4239.744,4224.487,4216.667,4217.051,4213.59,4205.256,4193.59,4207.436,4246.026,4232.821,4220.0,4279.744
4206.923,4274.872,4239.231,4225.769,4213.333,4206.282,4216.667,4203.077,4196.923,4207.692,4240.256,4231.923,4219.359,4283.846
4205.385,4265.897,4239.103,4221.41,4207.436,4210.0,4226.026,4252.949,4215.0,4222.179,4242.051,4234.359,4222.051,4287.692
4206.41,4258.846,4238.462,4216.41,4206.923,4222.821,4231.667,4266.795,4217.308,4240.513,4253.077,4238.462,4226.538,4291.154
4206.795,4257.564,4237.949,4218.718,4205.769,4220.897,4227.949,4228.462,4201.154,4240.256,4254.487,4237.179,4227.308,4287.308
4204.359,4253.333,4236.923,4224.744,4205.256,4211.538,4222.692,4213.718,4196.923,4237.564,4250.513,4230.769,4225.385,4280.256
4197.179,4240.897,4234.615,4221.923,4201.026,4206.923,4221.667,4215.385,4198.205,4235.128,4246.026,4229.487,4218.333,4267.949
4200.256,4245.769,4241.795,4225.385,4204.231,4216.538,4232.179,4226.026,4198.974,4238.974,4249.872,4236.282,4220.641,4267.692
4207.949,4261.282,4251.667,4237.692,4213.205,4225.128,4244.487,4265.256,4213.974,4246.923,4257.436,4243.974,4231.026,4280.128
4207.179,4262.821,4252.051,4243.462,4216.154,4224.744,4242.949,4279.359,4227.308,4245.128,4260.0,4248.59,4232.308,4280.897
4207.821,4263.846,4249.872,4248.846,4220.769,4222.692,4239.231,4252.436,4216.538,4233.077,4260.385,4245.513,4226.667,4272.692
4212.051,4272.821,4250.513,4258.205,4225.641,4224.103,4248.846,4247.821,4205.897,4224.103,4259.615,4241.41,4222.821,4270.513
4215.641,4276.923,4256.026,4261.026,4223.333,4228.333,4254.487,4270.513,4223.333,4240.769,4265.897,4246.154,4230.128,4274.872
4212.051,4264.615,4259.359,4251.923,4210.641,4221.154,4247.436,4271.538,4234.487,4254.744,4269.872,4251.282,4233.462,4269.615
4199.872,4252.692,4251.154,4242.436,4201.282,4216.923,4249.103,4257.949,4218.974,4238.846,4261.026,4246.282,4224.615,4255.128
4202.692,4262.949,4246.154,4244.615,4212.564,4228.974,4247.692,4248.718,4210.897,4232.564,4259.359,4244.487,4228.205,4258.333
4215.513,4276.282,4254.744,4250.0,4227.821,4231.667,4231.41,4245.897,4219.359,4251.41,4273.205,4256.026,4241.154,4269.872
4211.923,4271.154,4261.538,4246.41,4229.231,4225.641,4235.897,4266.923,4230.769,4264.231,4281.282,4260.0,4241.282,4270.513
4198.59,4256.538,4254.872,4237.051,4219.872,4223.077,4253.846,4278.462,4230.256,4254.872,4271.41,4247.949,4230.641,4262.821
4195.513,4255.0,4247.051,4232.692,4220.256,4222.051,4245.0,4257.564,4218.974,4238.974,4262.051,4242.179,4225.897,4248.59
4196.923,4261.667,4251.923,4235.0,4227.564,4226.154,4239.744,4250.256,4216.154,4229.103,4259.103,4241.538,4225.128,4232.564
4198.077,4260.897,4261.795,4237.692,4219.359,4231.026,4255.769,4264.359,4224.359,4230.0,4260.513,4242.051,4223.077,4233.462
4208.59,4266.795,4266.41,4239.615,4214.103,4229.359,4254.487,4272.949,4231.923,4250.641,4274.744,4250.128,4237.308,4254.872
4210.769,4270.641,4262.564,4237.821,4221.154,4226.282,4237.692,4264.359,4230.0,4264.359,4282.564,4249.744,4252.821,4259.103
4203.846,4267.179,4257.564,4236.41,4223.974,4230.385,4236.41,4237.564,4221.026,4255.256,4272.436,4245.641,4248.846,4248.462
4207.692,4273.718,4260.897,4241.154,4225.385,4237.436,4244.615,4235.256,4219.872,4253.333,4272.051,4250.128,4246.538,4255.385
4206.41,4271.282,4258.333,4238.59,4216.41,4230.385,4244.744,4273.718,4232.179,4262.436,4277.821,4251.795,4248.846,4254.487
4198.462,4262.436,4250.641,4235.0,4209.231,4221.026,4243.718,4286.026,4234.359,4260.769,4275.0,4250.897,4247.051,4243.59
4198.333,4268.59,4252.436,4239.487,4217.821,4227.436,4247.179,4250.513,4219.359,4250.513,4273.462,4249.744,4246.41,4244.359
4195.513,4266.667,4252.949,4237.179,4216.667,4234.103,4245.769,4232.821,4213.846,4243.205,4273.462,4246.154,4246.41,4245.0
4195.128,4254.744,4251.282,4232.051,4210.385,4231.923,4239.872,4257.308,4228.205,4249.359,4278.974,4250.769,4252.436,4249.231
4207.692,4251.026,4260.256,4232.051,4205.513,4228.462,4243.718,4286.538,4239.487,4258.077,4288.974,4263.59,4261.923,4259.872
4207.564,4242.436,4262.308,4224.487,4197.821,4233.59,4249.487,4286.795,4231.026,4246.795,4282.692,4261.923,4256.154,4254.103
4187.051,4227.051,4247.179,4211.026,4200.897,4243.462,4245.897,4255.513,4218.846,4233.333,4265.897,4243.974,4240.385,4233.077
4176.795,4223.333,4238.462,4209.487,4208.846,4242.821,4250.513,4247.179,4221.41,4241.667,4262.179,4238.974,4238.974,4221.795
4182.949,4232.564,4241.282,4218.846,4211.923,4235.0,4252.692,4272.821,4229.231,4251.154,4265.385,4239.103,4246.795,4222.949
4183.974,4231.538,4240.769,4218.077,4205.0,4228.59,4234.487,4268.59,4222.308,4240.256,4260.641,4228.59,4240.641,4217.436
4185.641,4230.0,4244.487,4216.538,4198.718,4227.821,4228.462,4251.795,4221.923,4244.744,4263.077,4233.846,4238.59,4219.744
4197.179,4246.667,4255.256,4229.872,4210.513,4237.051,4245.641,4255.513,4232.179,4268.462,4274.487,4248.333,4252.821,4237.821
4196.538,4254.744,4253.974,4233.077,4216.41,4239.487,4246.41,4263.846,4226.026,4260.256,4273.077,4248.718,4253.333,4244.744
4194.615,4259.103,4254.231,4227.949,4212.051,4238.205,4237.179,4279.744,4225.769,4251.667,4271.538,4253.077,4250.128,4248.333
4202.949,4269.487,4265.128,4233.077,4213.59,4240.0,4243.846,4289.744,4234.872,4264.231,4272.564,4261.41,4253.718,4248.077
4198.59,4262.949,4262.308,4235.385,4212.949,4233.59,4244.744,4271.282,4228.846,4250.256,4260.513,4254.359,4241.154,4236.795
4193.718,4256.923,4256.154,4232.051,4206.282,4226.41,4236.538,4252.821,4220.897,4223.333,4250.513,4243.718,4228.205,4240.0
4201.795,4260.513,4262.821,4231.41,4201.923,4228.333,4237.564,4242.692,4218.205,4215.256,4252.179,4247.821,4230.513,4248.718
4207.564,4261.154,4267.821,4235.385,4209.487,4239.615,4241.026,4231.026,4215.897,4223.974,4260.0,4253.077,4238.718,4245.641
4206.154,4265.513,4265.256,4242.179,4221.667,4245.385,4235.0,4253.333,4225.385,4238.077,4265.385,4253.59,4246.154,4249.872
4207.179,4269.359,4262.179,4243.077,4225.128,4239.487,4237.308,4284.744,4235.513,4243.974,4263.718,4259.359,4247.436,4260.256
4209.359,4265.769,4261.282,4237.692,4225.769,4242.949,4251.154,4273.077,4228.462,4244.744,4266.538,4257.821,4247.051,4256.154
4207.179,4265.513,4261.282,4237.308,4230.897,4250.769,4247.179,4249.744,4220.0,4249.872,4271.282,4252.564,4249.359,4247.436
4205.128,4271.41,4262.179,4240.385,4235.769,4250.769,4241.795,4253.077,4222.564,4256.538,4270.513,4256.538,4249.487,4247.821
4205.0,4269.231,4262.308,4237.949,4225.256,4249.615,4257.051,4272.179,4230.513,4259.487,4271.026,4258.846,4246.282,4249.744
4205.513,4269.744,4264.615,4235.256,4215.769,4256.154,4273.462,4297.051,4239.615,4266.667,4273.333,4258.077,4245.128,4251.667
4207.179,4278.718,4270.128,4236.923,4226.795,4260.0,4274.872,4310.897,4240.897,4272.692,4270.897,4257.179,4248.462,4251.667
4207.821,4279.615,4271.667,4241.538,4240.256,4253.333,4263.205,4284.359,4228.974,4264.615,4267.051,4256.026,4249.872,4244.487
4207.564,4282.436,4270.769,4245.641,4238.462,4254.231,4252.179,4267.051,4227.179,4258.718,4267.436,4257.564,4247.692,4243.718
4207.179,4287.308,4270.769,4245.128,4229.615,4258.077,4250.128,4279.487,4233.974,4258.462,4265.641,4256.282,4244.103,4251.795
4204.872,4282.692,4269.615,4242.051,4230.641,4248.077,4248.205,4268.718,4226.41,4249.487,4262.051,4250.769,4242.564,4249.487
4204.103,4284.615,4269.487,4244.103,4241.282,4249.615,4249.744,4255.769,4224.487,4254.359,4271.41,4252.051,4249.744,4248.333
4209.103,4292.308,4274.615,4247.436,4241.41,4263.974,4261.026,4276.41,4236.41,4271.538,4281.026,4259.872,4254.231,4255.128
4213.205,4292.308,4279.231,4251.026,4236.41,4263.205,4265.897,4304.872,4244.103,4273.077,4277.436,4263.59,4252.308,4255.256
