title:15_data_label1, start timestamp:1589527187.015167, stop timestamp:1589527225.120536, headset type:EPOCPLUS, headset serial:4A2C1027, headset firmware:633, subject name:Gosha, channels:50, sampling rate:eeg_128;mot_32, samples:4872      , version:2.0
Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1589527187.015167,86.000000,0.000000,4198.589844,4202.692383,4201.538574,4197.051270,4213.717773,4217.179688,4206.538574,4203.846191,4205.512695,4239.615234,4224.871582,4203.846191,4273.589844,4241.025879,3318.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1589527187.022893,87.000000,0.000000,4198.205078,4205.128418,4202.692383,4200.769043,4213.077148,4219.871582,4206.922852,4204.487305,4203.333496,4235.384766,4221.282227,4201.282227,4306.282227,4244.743652,3179.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1589527187.030719,88.000000,0.000000,4200.000000,4202.436035,4201.922852,4200.897461,4210.897461,4213.205078,4201.282227,4213.333496,4212.692383,4230.384766,4220.769043,4205.769043,4298.461426,4248.205078,3406.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,22.000000,0.000000,0.397684,-0.445496,-0.528625,-0.603271,0.939956,0.277836,0.036622,-84.339668,-114.097809,38.281834
1589527187.038445,89.000000,0.000000,4199.743652,4201.666504,4201.538574,4200.128418,4211.025879,4214.487305,4201.153809,4213.077148,4207.563965,4227.820313,4222.563965,4217.179688,4257.051270,4247.948730,3358.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1589527187.046271,90.000000,0.000000,4199.102539,4205.512695,4203.461426,4202.692383,4206.410156,4219.615234,4204.487305,4206.282227,4200.256348,4227.692383,4218.205078,4218.461426,4268.717773,4247.051270,3318.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1589527187.053998,91.000000,0.000000,4199.358887,4205.512695,4207.307617,4205.512695,4201.410156,4215.641113,4203.205078,4204.487305,4207.051270,4226.922852,4214.871582,4213.333496,4274.230957,4246.538574,3179.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1589527187.061824,92.000000,0.000000,4200.641113,4202.436035,4208.589844,4205.384766,4203.846191,4206.282227,4201.025879,4203.717773,4207.948730,4224.743652,4216.282227,4213.077148,4181.794922,4246.538574,3406.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,23.000000,0.000000,0.397404,-0.445435,-0.528748,-0.603394,0.941909,0.281743,0.044434,-84.489204,-114.546425,38.132298
1589527187.069550,93.000000,0.000000,4197.820313,4202.179688,4203.717773,4204.102539,4202.692383,4205.384766,4201.410156,4203.589844,4207.051270,4225.897461,4214.871582,4206.922852,4046.923096,4243.846191,3358.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1589527187.077376,94.000000,0.000000,4191.025879,4202.820313,4200.512695,4203.461426,4200.512695,4214.487305,4204.230957,4203.205078,4210.384766,4231.153809,4216.025879,4200.256348,4036.538574,4243.333496,3318.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1589527187.085102,95.000000,0.000000,4186.410156,4200.384766,4201.025879,4201.794922,4201.666504,4217.307617,4204.487305,4203.589844,4209.743652,4232.820313,4218.974121,4202.051270,4180.769043,4242.179688,3179.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1589527187.092829,96.000000,0.000000,4184.743652,4199.102539,4200.512695,4199.615234,4201.025879,4213.846191,4203.205078,4206.666504,4209.871582,4227.307617,4216.025879,4204.871582,4305.512695,4237.948730,3406.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,24.000000,0.000000,0.397392,-0.445374,-0.528809,-0.603394,0.941421,0.274907,0.034668,-85.236893,-113.948273,36.337833
1589527187.100655,97.000000,0.000000,4184.615234,4201.282227,4195.384766,4197.051270,4202.051270,4214.871582,4202.563965,4207.692383,4210.256348,4222.436035,4215.769043,4204.743652,4307.948730,4235.384766,3358.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1589527187.108482,98.000000,0.000000,4185.000000,4201.922852,4191.922852,4195.128418,4201.794922,4213.461426,4200.897461,4202.948730,4205.128418,4222.307617,4217.436035,4204.615234,4290.128418,4233.205078,3318.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1589527187.116208,99.000000,0.000000,4185.000000,4201.025879,4196.922852,4193.846191,4200.000000,4207.948730,4196.538574,4198.846191,4201.410156,4220.769043,4211.922852,4202.436035,4330.128418,4231.153809,3179.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1589527187.124033,100.000000,0.000000,4186.410156,4201.410156,4203.461426,4196.282227,4206.922852,4213.846191,4196.282227,4201.922852,4202.820313,4219.358887,4208.205078,4202.948730,4318.077148,4233.846191,3406.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,25.000000,0.000000,0.396912,-0.445190,-0.529114,-0.603577,0.955581,0.275883,0.044434,-85.087357,-114.396889,38.730450
1589527187.131759,101.000000,0.000000,4190.256348,4201.282227,4203.846191,4200.384766,4213.333496,4216.025879,4200.769043,4205.256348,4203.589844,4221.025879,4209.871582,4207.692383,4248.974121,4235.384766,3358.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1589527187.139486,102.000000,0.000000,4188.846191,4199.615234,4198.717773,4197.692383,4205.000000,4205.256348,4197.179688,4202.436035,4201.922852,4215.384766,4203.974121,4207.179688,4234.358887,4231.153809,3318.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1589527187.147312,103.000000,0.000000,4185.769043,4198.846191,4192.948730,4193.846191,4197.948730,4208.974121,4193.717773,4199.487305,4199.358887,4206.410156,4197.307617,4200.769043,4260.000000,4231.282227,3179.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1589527187.155039,104.000000,0.000000,4185.512695,4200.641113,4190.897461,4197.436035,4202.820313,4215.897461,4201.025879,4201.025879,4199.230957,4205.384766,4197.436035,4197.307617,4266.025879,4233.461426,3406.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,26.000000,0.000000,0.396453,-0.444946,-0.529663,-0.603577,0.955093,0.268559,0.047364,-84.788284,-114.247345,38.580910
1589527187.162865,105.000000,0.000000,4185.128418,4200.384766,4194.102539,4201.794922,4202.820313,4209.358887,4204.102539,4201.025879,4199.358887,4207.820313,4197.948730,4198.846191,4276.666504,4230.384766,3358.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1589527187.170591,106.000000,0.000000,4190.384766,4201.410156,4200.256348,4200.769043,4199.102539,4204.487305,4198.333496,4199.487305,4200.128418,4214.487305,4204.615234,4202.692383,4300.000000,4234.358887,3318.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1589527187.178418,107.000000,0.000000,4201.282227,4209.871582,4206.025879,4203.077148,4202.179688,4206.282227,4197.563965,4200.512695,4206.666504,4228.461426,4218.205078,4211.153809,4300.000000,4245.641113,3179.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1589527187.186144,108.000000,0.000000,4205.000000,4212.820313,4206.922852,4206.410156,4204.487305,4209.615234,4203.461426,4203.077148,4213.717773,4233.974121,4221.025879,4217.692383,4308.333496,4250.256348,3406.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,27.000000,0.000000,0.395597,-0.444702,-0.530090,-0.603943,0.952651,0.285649,0.047852,-83.741508,-114.247345,38.580910
1589527187.193970,109.000000,0.000000,4200.769043,4204.230957,4204.615234,4200.769043,4201.410156,4213.846191,4203.717773,4208.333496,4216.282227,4228.846191,4215.256348,4216.282227,4328.333496,4247.179688,3358.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1589527187.201696,110.000000,0.000000,4196.153809,4195.128418,4200.000000,4194.102539,4202.563965,4220.384766,4203.461426,4213.717773,4216.794922,4230.641113,4217.820313,4212.051270,4310.897461,4242.051270,3318.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1589527187.209522,111.000000,0.000000,4189.743652,4190.512695,4190.769043,4188.589844,4207.692383,4224.487305,4210.512695,4217.436035,4217.820313,4233.461426,4216.794922,4207.563965,4281.153809,4236.025879,3179.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1589527187.217248,112.000000,0.000000,4182.692383,4184.230957,4183.205078,4179.358887,4201.794922,4221.410156,4213.589844,4213.846191,4213.205078,4227.051270,4200.641113,4200.641113,4272.692383,4228.717773,3406.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,28.000000,0.000000,0.394828,-0.444763,-0.530334,-0.604187,0.947280,0.280766,0.037110,-85.087357,-113.649193,37.235065
