title:15_data_9_label2, start timestamp:1589528322.537826, stop timestamp:1589528360.316865, headset type:EPOCPLUS, headset serial:4A2C1027, headset firmware:633, subject name:Gosha, channels:50, sampling rate:eeg_128;mot_32, samples:4828      , version:2.0
Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1589528322.537826,44.000000,0.000000,4184.871582,4197.179688,4200.897461,4213.589844,4174.230957,4207.948730,4201.666504,4203.717773,4201.025879,4202.948730,4218.333496,4212.948730,4229.871582,4206.025879,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,11.000000,0.000000,0.322942,-0.512329,-0.422424,-0.674377,0.959487,0.231449,0.117678,-85.685509,-117.836273,42.468910
1589528322.545552,45.000000,0.000000,4189.102539,4202.820313,4203.974121,4216.025879,4168.717773,4195.384766,4206.025879,4204.487305,4201.025879,4214.102539,4220.512695,4219.487305,4238.333496,4217.692383,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1589528322.553379,46.000000,0.000000,4190.256348,4207.563965,4201.025879,4216.153809,4163.333496,4196.922852,4203.974121,4201.025879,4204.102539,4210.000000,4218.589844,4214.487305,4218.974121,4217.051270,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1589528322.561105,47.000000,0.000000,4180.000000,4195.256348,4198.333496,4211.153809,4168.717773,4209.487305,4198.974121,4202.563965,4205.384766,4204.230957,4218.717773,4203.717773,4212.820313,4203.846191,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1589528322.568931,48.000000,0.000000,4175.769043,4185.897461,4198.077148,4205.000000,4174.487305,4217.179688,4197.179688,4200.769043,4200.641113,4210.512695,4215.641113,4200.512695,4235.512695,4200.384766,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,12.000000,0.000000,0.322729,-0.512634,-0.422119,-0.674438,0.936538,0.246586,0.123537,-84.788284,-117.836273,42.468910
1589528322.576658,49.000000,0.000000,4179.358887,4195.512695,4193.846191,4202.051270,4175.128418,4210.512695,4190.000000,4191.282227,4195.641113,4203.461426,4203.205078,4201.410156,4221.538574,4201.922852,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1589528322.584484,50.000000,0.000000,4187.563965,4213.974121,4194.871582,4211.538574,4173.205078,4195.897461,4184.871582,4189.358887,4195.000000,4193.717773,4204.743652,4205.000000,4185.897461,4208.846191,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1589528322.592211,51.000000,0.000000,4195.897461,4225.256348,4201.153809,4224.743652,4169.358887,4196.410156,4187.948730,4190.384766,4191.794922,4201.538574,4215.384766,4206.922852,4182.436035,4214.230957,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1589528322.600137,52.000000,0.000000,4194.871582,4230.128418,4202.692383,4227.820313,4170.897461,4200.128418,4186.025879,4184.358887,4183.077148,4198.461426,4208.077148,4203.589844,4199.230957,4206.410156,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,13.000000,0.000000,0.322940,-0.512451,-0.422180,-0.674438,0.945327,0.234867,0.105470,-84.040588,-118.883041,42.468910
1589528322.607964,53.000000,0.000000,4190.512695,4234.871582,4202.051270,4232.948730,4181.282227,4190.769043,4183.589844,4186.025879,4182.307617,4185.512695,4194.230957,4200.384766,4206.410156,4199.487305,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
