EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4
4182.436035,4198.717772999999,4185.769043,4197.692383,4096.153809,4201.282227000001,4186.666504,4199.615234000001,4205.769043,4148.077147999999,4187.436035,4198.461426,4165.641113000001,4192.436035
4173.589844,4197.307617,4180.769043,4190.769043,4094.358887,4201.410156,4196.666504,4197.05127,4204.230957,4135.897461,4181.538574,4196.666504,4163.205078,4181.410156
4176.794922,4201.922852000001,4182.820313,4188.205078,4092.179443,4205.256348,4211.282227000001,4209.487305,4217.94873,4144.358886999999,4195.0,4206.922852000001,4158.974121,4190.641113000001
4183.974121,4207.692383,4185.641113000001,4194.743652,4099.230957,4210.256348,4209.743652,4218.589844,4225.256348,4155.897461,4199.487305,4213.205078,4147.307617,4199.871582
4184.743652,4206.794922,4187.05127,4199.743652,4108.717772999999,4213.846191,4198.974121,4208.589844,4218.974121,4151.025879,4190.0,4209.743652,4139.358886999999,4193.717772999999
4186.282227000001,4202.820313,4194.743652,4202.179688,4108.461426,4212.307617,4199.358886999999,4199.743652,4214.871582,4155.897461,4195.897461,4211.922852000001,4154.615234000001,4196.025879
4189.743652,4202.436035,4202.05127,4203.461426,4101.153809,4202.05127,4205.769043,4201.025879,4216.282227000001,4162.05127,4199.743652,4216.025879,4164.487305,4201.153809
4185.769043,4199.615234000001,4195.641113000001,4197.307617,4092.5642090000006,4187.307617,4202.820313,4199.487305,4213.717772999999,4150.128418,4188.077147999999,4209.743652,4148.974121,4191.538574
4184.487305,4197.179688,4186.282227000001,4194.102539,4090.641113,4185.769043,4192.436035,4197.820313,4205.128418,4142.179688,4185.0,4204.358886999999,4158.846191,4183.717772999999
4183.461426,4199.871582,4185.897461,4200.256348,4099.487305,4198.974121,4187.05127,4198.974121,4203.846191,4140.641113000001,4190.769043,4205.0,4198.333496,4184.871582
4175.512695,4200.769043,4185.769043,4200.128418,4107.179688,4202.563965,4190.897461,4198.333496,4213.717772999999,4133.589844,4187.307617,4201.153809,4222.820313,4184.102539
4173.717772999999,4196.538574,4181.538574,4193.846191,4106.666504,4197.179688,4197.563965,4197.307617,4216.153809,4137.94873,4184.230957,4199.615234000001,4233.717772999999,4184.230957
4182.05127,4200.641113000001,4186.538574,4196.025879,4105.641113000001,4199.358886999999,4201.794922,4200.256348,4215.0,4157.436035,4193.333496,4208.589844,4254.487305,4190.512695
4187.307617,4210.0,4198.846191,4202.94873,4107.307617,4200.769043,4205.769043,4203.589844,4221.025879,4162.94873,4203.846191,4213.461426,4276.922852000001,4198.846191
4186.922852000001,4208.077147999999,4199.487305,4201.410156,4110.128418,4199.487305,4200.641113000001,4197.179688,4214.487305,4139.487305,4196.794922,4204.102539,4282.179688,4198.333496
4192.307617,4205.641113000001,4193.846191,4196.794922,4110.641113000001,4204.615234000001,4198.333496,4191.666504,4200.769043,4124.871582,4188.205078,4203.589844,4281.282227000001,4198.461426
4202.692383,4212.692383,4199.487305,4202.179688,4109.358886999999,4203.589844,4208.717772999999,4200.256348,4206.282227000001,4144.871582,4197.692383,4218.333496,4268.974121,4210.128418
