0,1,2,3,4,5,6,7,8,9,10,11,12,13
4205.513,4232.308,4218.333,4186.923,4203.846,4231.026,4226.026,4204.487,4203.846,4225.769,4192.949,4218.59,4235.897,4230.641
4215.0,4235.128,4227.564,4189.744,4194.103,4213.974,4235.385,4247.436,4223.205,4239.231,4202.692,4234.103,4249.615,4242.308
4217.051,4231.538,4231.795,4188.462,4192.821,4211.282,4237.564,4260.513,4238.846,4250.897,4205.256,4236.41,4250.256,4244.487
4216.282,4231.667,4230.385,4186.538,4198.846,4218.205,4229.359,4236.282,4234.103,4246.795,4202.821,4228.846,4246.538,4238.974
4213.205,4222.308,4225.385,4184.615,4197.436,4227.436,4231.538,4230.0,4227.308,4231.154,4195.513,4217.821,4241.282,4229.231
4215.385,4218.974,4228.462,4184.744,4199.103,4225.256,4229.231,4248.333,4239.359,4242.949,4202.308,4224.744,4243.077,4233.462
4219.487,4225.513,4236.026,4185.0,4201.154,4207.051,4224.744,4249.359,4247.308,4261.795,4215.769,4237.692,4254.359,4245.769
4215.128,4222.692,4235.256,4183.205,4191.538,4201.795,4230.769,4249.359,4240.897,4253.205,4212.564,4235.641,4260.0,4244.359
4217.051,4222.949,4232.949,4185.641,4193.846,4220.0,4237.692,4254.359,4242.308,4254.872,4209.872,4239.487,4263.077,4245.769
4225.0,4230.256,4232.436,4188.846,4215.769,4229.359,4227.179,4231.538,4245.769,4265.0,4213.974,4242.436,4265.513,4252.436
4221.795,4223.333,4229.487,4186.41,4219.744,4218.333,4220.641,4229.615,4246.41,4256.538,4221.026,4234.487,4262.692,4252.051
4215.641,4213.205,4230.513,4186.026,4200.128,4211.923,4234.103,4254.103,4246.538,4251.41,4229.487,4238.462,4264.487,4254.615
4217.564,4216.282,4233.205,4185.641,4187.436,4213.846,4235.641,4235.385,4237.179,4253.59,4237.051,4241.282,4265.0,4257.821
4225.0,4221.026,4233.846,4186.795,4191.538,4207.051,4220.385,4213.333,4227.308,4247.179,4288.205,4236.154,4261.667,4251.41
4234.487,4225.513,4243.462,4196.154,4201.41,4196.795,4210.513,4239.359,4235.256,4248.333,4378.462,4243.077,4260.385,4249.359
4238.462,4230.385,4249.231,4198.462,4206.923,4196.795,4218.205,4242.692,4233.846,4248.846,4419.103,4242.179,4255.128,4251.667
4236.282,4230.256,4239.231,4190.128,4199.744,4203.205,4239.231,4232.436,4227.308,4241.154,4414.103,4234.359,4253.077,4249.231
4239.231,4234.231,4234.744,4187.436,4187.949,4200.641,4249.231,4261.154,4245.897,4250.513,4430.769,4246.923,4264.103,4251.923
4233.205,4235.128,4231.667,4186.923,4190.641,4199.487,4228.718,4255.769,4243.59,4252.436,4434.615,4242.308,4257.949,4246.795
4212.308,4229.103,4215.385,4180.385,4203.333,4208.59,4197.436,4214.103,4212.051,4226.923,4408.462,4214.103,4233.077,4224.744
4210.769,4235.897,4210.641,4180.256,4200.641,4207.308,4198.333,4228.077,4218.333,4223.846,4413.333,4219.359,4235.128,4222.949
4229.231,4248.59,4228.077,4186.667,4188.077,4188.974,4218.59,4265.256,4244.231,4247.564,4437.821,4240.513,4255.0,4245.128
4226.282,4248.205,4228.462,4181.154,4181.538,4181.026,4212.308,4237.051,4225.641,4238.718,4433.59,4227.564,4247.821,4242.308
4212.179,4253.205,4214.872,4176.538,4184.231,4190.128,4194.103,4190.385,4198.462,4212.564,4420.256,4206.795,4230.769,4220.0
4223.59,4261.667,4221.538,4181.41,4199.359,4198.205,4202.051,4203.59,4215.641,4221.795,4432.179,4217.436,4235.897,4224.103
4235.128,4256.923,4232.564,4182.051,4201.538,4189.359,4222.051,4237.692,4237.692,4234.744,4449.231,4234.615,4243.205,4241.282
4230.0,4261.923,4229.615,4179.487,4183.59,4173.333,4223.974,4239.231,4226.026,4218.333,4444.615,4231.795,4231.795,4235.641
4226.41,4280.641,4227.179,4183.846,4178.205,4172.179,4214.872,4224.744,4202.692,4196.667,4426.923,4214.231,4218.333,4217.564
4231.026,4290.256,4229.487,4192.692,4194.487,4180.513,4207.949,4216.282,4192.179,4183.846,4414.231,4199.615,4211.026,4213.333
4237.949,4296.154,4229.744,4200.385,4205.641,4175.513,4211.923,4214.487,4194.231,4180.769,4419.615,4204.872,4209.487,4221.282
4240.897,4300.769,4231.026,4204.744,4196.41,4166.667,4231.667,4229.231,4210.0,4198.333,4438.205,4220.128,4216.41,4233.077
4236.154,4294.103,4228.205,4200.897,4191.795,4171.154,4228.205,4239.103,4226.538,4216.154,4445.513,4224.744,4223.333,4238.205
4226.282,4284.615,4220.0,4194.103,4200.641,4173.462,4202.692,4233.205,4222.949,4210.513,4432.051,4214.744,4215.641,4223.205
4212.692,4274.231,4213.205,4188.974,4201.41,4170.0,4203.974,4236.41,4212.179,4197.308,4415.769,4195.769,4201.667,4199.615
4199.103,4260.769,4203.462,4182.692,4187.436,4171.795,4215.769,4232.308,4212.436,4192.051,4404.615,4181.538,4195.256,4190.128
4199.359,4255.769,4199.359,4180.641,4184.487,4169.231,4207.692,4217.821,4218.333,4199.103,4403.718,4190.641,4200.641,4198.846
4202.051,4251.282,4201.795,4175.897,4192.564,4165.513,4204.487,4214.487,4216.282,4205.897,4411.026,4205.128,4204.103,4206.154
4198.077,4242.436,4199.744,4171.154,4188.846,4171.282,4216.026,4206.923,4207.692,4196.026,4407.179,4199.487,4198.205,4206.41
4207.051,4247.436,4202.179,4178.846,4185.769,4175.513,4215.0,4178.974,4197.051,4187.051,4398.205,4195.0,4197.436,4209.487
4219.872,4259.103,4212.949,4189.231,4190.513,4165.128,4205.128,4178.205,4194.487,4193.59,4399.615,4201.154,4203.077,4214.231
4216.538,4255.0,4217.308,4188.462,4184.872,4152.949,4210.0,4213.718,4203.077,4202.051,4401.923,4205.128,4202.821,4216.923
4206.538,4245.385,4214.872,4183.205,4177.308,4156.026,4213.974,4221.667,4204.359,4195.256,4395.769,4200.641,4197.821,4216.026
4212.308,4246.667,4214.744,4183.718,4185.769,4163.59,4206.923,4210.0,4200.641,4188.462,4392.564,4199.744,4198.462,4216.795
4230.0,4253.846,4220.641,4186.795,4188.462,4158.462,4202.051,4210.641,4202.821,4197.179,4400.0,4211.923,4205.513,4227.308
4231.282,4252.051,4220.128,4186.41,4171.538,4150.513,4204.872,4209.359,4198.974,4198.718,4399.872,4216.41,4208.846,4233.077
4212.564,4239.744,4206.538,4178.718,4167.051,4152.051,4205.641,4208.846,4191.538,4183.077,4383.59,4202.051,4198.205,4221.41
4198.718,4229.103,4197.692,4171.282,4178.333,4153.462,4200.0,4211.795,4192.564,4177.051,4369.103,4190.769,4186.026,4211.667
4201.154,4230.897,4201.667,4175.0,4186.795,4153.59,4196.538,4217.051,4203.333,4194.359,4372.821,4197.821,4191.795,4218.846
4204.744,4235.385,4202.692,4179.487,4192.051,4156.154,4199.231,4218.462,4210.513,4205.897,4377.308,4200.513,4201.538,4224.615
