0,1,2,3,4,5,6,7,8,9,10,11,12,13
4201.923,4246.026,4227.821,4327.692,4185.256,4243.077,4221.154,4183.077,4203.59,4170.128,4197.051,4190.256,4018.462,4263.974
4197.051,4242.179,4222.949,4324.487,4189.872,4251.538,4231.923,4212.564,4211.795,4163.077,4197.564,4191.282,3994.744,4260.256
4193.077,4235.256,4216.795,4326.538,4182.821,4242.564,4216.667,4210.897,4207.564,4157.051,4200.513,4185.128,3972.949,4259.615
4193.205,4232.949,4215.128,4333.205,4185.513,4237.692,4207.564,4183.846,4198.462,4166.154,4199.744,4179.872,3974.103,4263.974
4196.795,4237.564,4217.179,4333.59,4187.179,4245.256,4218.59,4187.051,4202.564,4175.385,4199.615,4179.231,3981.795,4266.795
4199.615,4236.923,4217.564,4329.615,4185.385,4250.897,4217.821,4190.513,4208.718,4170.385,4199.231,4181.026,3986.923,4268.718
4202.179,4237.308,4216.923,4329.487,4193.205,4249.872,4211.41,4192.949,4213.333,4175.513,4202.564,4187.436,3996.41,4273.59
4205.385,4233.718,4218.205,4325.385,4196.41,4245.897,4219.872,4212.949,4215.897,4190.897,4203.846,4193.205,4004.744,4273.077
4205.0,4206.923,4218.077,4315.641,4190.897,4243.718,4211.41,4198.462,4206.282,4186.41,4201.026,4192.179,4007.564,4265.256
4201.538,4184.615,4215.0,4309.872,4189.744,4245.385,4193.077,4166.026,4199.103,4172.436,4199.744,4186.667,4016.538,4255.0
4200.513,4180.385,4213.718,4305.385,4190.256,4240.769,4208.846,4184.487,4202.308,4169.231,4198.974,4184.744,4028.333,4251.538
4201.282,4166.795,4213.077,4299.487,4190.128,4240.897,4225.769,4216.282,4204.872,4178.462,4200.513,4188.846,4036.282,4253.333
4197.949,4144.359,4203.718,4296.667,4191.795,4246.538,4200.897,4193.205,4205.0,4187.436,4201.538,4186.667,4046.026,4246.026
4194.615,4127.692,4199.872,4296.667,4190.513,4239.231,4174.872,4172.821,4207.308,4193.846,4198.846,4184.231,4058.974,4237.949
4202.564,4123.846,4212.821,4294.231,4194.615,4235.641,4186.538,4202.949,4210.256,4205.385,4203.205,4195.385,4074.487,4245.256
4208.077,4133.205,4218.333,4289.615,4200.256,4244.615,4214.231,4211.923,4205.128,4199.615,4207.436,4202.051,4078.462,4244.744
4198.846,4129.615,4204.872,4279.872,4191.282,4242.179,4222.179,4183.205,4200.256,4177.436,4195.897,4191.41,4068.077,4225.128
4192.692,4099.872,4196.154,4270.513,4183.718,4231.026,4197.308,4166.154,4200.769,4177.051,4188.333,4185.897,4066.667,4214.615
4198.462,4079.744,4200.641,4265.256,4185.897,4234.744,4174.359,4176.282,4202.051,4192.179,4198.077,4192.564,4082.179,4219.872
4200.641,4078.462,4201.41,4248.846,4185.769,4241.923,4183.333,4192.179,4202.564,4191.923,4200.385,4194.103,4090.897,4220.0
4201.026,4076.282,4201.154,4225.385,4193.59,4244.231,4189.615,4185.128,4202.051,4189.359,4200.256,4191.154,4093.59,4220.769
4208.077,4073.077,4207.436,4211.923,4197.179,4246.795,4178.59,4167.821,4200.641,4198.077,4208.205,4193.077,4101.795,4227.179
4210.0,4069.872,4210.256,4202.308,4183.205,4241.923,4191.154,4177.949,4200.256,4204.615,4207.308,4196.41,4105.897,4224.103
4209.615,4073.59,4213.718,4189.231,4190.769,4241.923,4209.359,4186.923,4202.949,4197.949,4207.308,4201.154,4112.179,4222.179
4207.179,4078.205,4212.436,4176.795,4205.769,4248.974,4199.103,4175.897,4203.205,4186.667,4209.103,4201.026,4116.026,4224.744
4197.179,4071.41,4201.795,4170.385,4188.59,4248.333,4189.872,4194.359,4203.333,4189.872,4201.282,4192.949,4108.462,4216.667
4195.128,4065.641,4203.205,4167.949,4175.128,4244.872,4194.103,4203.846,4203.974,4201.41,4202.051,4193.205,4110.641,4208.59
