title:15_data_5_label1, start timestamp:1589527689.637369, stop timestamp:1589527727.451858, headset type:EPOCPLUS, headset serial:4A2C1027, headset firmware:633, subject name:Gosha, channels:50, sampling rate:eeg_128;mot_32, samples:4833      , version:2.0
Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1589527689.637369,61.000000,0.000000,4203.333496,4206.794922,4203.589844,4213.333496,4209.615234,4213.077148,4215.128418,4209.102539,4207.948730,4209.487305,4194.615234,4218.077148,4204.871582,4211.538574,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1589527689.645094,62.000000,0.000000,4206.410156,4209.871582,4206.666504,4214.743652,4209.102539,4200.769043,4215.769043,4200.769043,4205.641113,4213.205078,4198.846191,4221.666504,4199.487305,4214.358887,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1589527689.652920,63.000000,0.000000,4207.179688,4211.666504,4208.077148,4214.743652,4202.563965,4202.307617,4218.589844,4205.384766,4211.666504,4218.461426,4200.897461,4230.641113,4210.256348,4224.615234,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1589527689.660646,64.000000,0.000000,4210.256348,4207.692383,4211.794922,4215.000000,4207.179688,4213.205078,4219.615234,4214.102539,4218.717773,4219.102539,4201.538574,4235.512695,4221.922852,4232.692383,3302.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,16.000000,0.000000,0.410756,-0.414063,-0.482788,-0.653259,0.931655,0.284672,0.186526,-82.545204,-114.995041,47.403679
1589527689.668372,65.000000,0.000000,4206.794922,4200.641113,4206.025879,4209.230957,4214.358887,4210.384766,4215.897461,4207.307617,4210.897461,4216.922852,4196.025879,4229.615234,4216.282227,4232.563965,3554.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1589527689.676198,66.000000,0.000000,4202.436035,4203.846191,4201.794922,4207.948730,4214.487305,4200.641113,4215.512695,4200.128418,4204.487305,4216.282227,4194.871582,4222.692383,4207.436035,4232.436035,3343.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1589527689.684024,67.000000,0.000000,4206.666504,4215.128418,4208.077148,4216.666504,4214.615234,4197.307617,4222.051270,4213.205078,4216.538574,4220.256348,4202.179688,4222.563965,4202.948730,4232.563965,3245.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1589527689.691750,68.000000,0.000000,4209.487305,4217.948730,4208.974121,4217.948730,4214.102539,4201.282227,4225.000000,4220.897461,4224.102539,4226.025879,4203.461426,4221.922852,4196.666504,4222.307617,3549.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,17.000000,0.000000,0.410473,-0.414368,-0.482849,-0.653198,0.920913,0.281254,0.190433,-83.591972,-115.443657,46.207371
1589527689.699476,69.000000,0.000000,4202.820313,4214.230957,4202.563965,4213.333496,4216.666504,4212.948730,4220.256348,4211.538574,4214.487305,4225.000000,4195.512695,4215.769043,4201.922852,4214.358887,3539.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1589527689.707302,70.000000,0.000000,4197.948730,4213.333496,4203.589844,4215.512695,4220.512695,4220.384766,4214.615234,4206.666504,4208.589844,4221.538574,4192.436035,4212.948730,4214.358887,4213.461426,3507.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
