title:15_data_7_label_1, start timestamp:1589528098.551599, stop timestamp:1589528136.048310, headset type:EPOCPLUS, headset serial:4A2C1027, headset firmware:633, subject name:Gosha, channels:50, sampling rate:eeg_128;mot_32, samples:4791      , version:2.0
Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1589528098.551599,95.000000,0.000000,4204.358887,4216.794922,4208.333496,4203.846191,4215.000000,4206.794922,4201.794922,4198.461426,4203.205078,4212.563965,4194.871582,4210.897461,4206.282227,4210.256348,3163.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1589528098.559524,96.000000,0.000000,4204.358887,4217.307617,4208.205078,4204.871582,4208.077148,4205.128418,4204.743652,4205.512695,4211.025879,4218.461426,4197.179688,4216.153809,4192.820313,4217.948730,3376.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,24.000000,0.000000,0.338871,-0.486267,-0.504700,-0.627686,0.941909,0.291508,0.011719,-83.143356,-115.443657,38.281834
1589528098.567348,97.000000,0.000000,4199.871582,4213.589844,4202.563965,4202.948730,4200.641113,4200.769043,4202.051270,4204.358887,4209.358887,4216.794922,4191.538574,4208.974121,4181.282227,4205.897461,3383.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1589528098.575172,98.000000,0.000000,4206.410156,4214.358887,4204.615234,4202.179688,4206.153809,4207.948730,4200.769043,4207.436035,4209.615234,4216.410156,4195.128418,4208.846191,4191.666504,4201.666504,3213.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1589528098.582997,99.000000,0.000000,4219.102539,4220.512695,4215.384766,4207.307617,4216.153809,4213.333496,4202.179688,4212.179688,4217.820313,4222.948730,4203.717773,4219.487305,4206.410156,4210.769043,3163.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1589528098.590720,100.000000,0.000000,4214.487305,4217.307617,4213.589844,4205.897461,4213.717773,4206.282227,4201.922852,4205.256348,4214.230957,4222.051270,4201.153809,4216.153809,4204.102539,4209.102539,3376.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,25.000000,0.000000,0.338438,-0.486633,-0.504333,-0.627930,0.944350,0.284672,0.017578,-85.685509,-112.901505,38.580910
1589528098.598444,101.000000,0.000000,4198.974121,4206.282227,4200.384766,4195.000000,4203.461426,4200.641113,4202.436035,4199.743652,4203.974121,4218.717773,4194.871582,4203.205078,4196.794922,4198.717773,3383.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1589528098.606268,102.000000,0.000000,4189.230957,4201.025879,4196.666504,4190.256348,4203.717773,4199.102539,4201.025879,4203.333496,4203.589844,4220.128418,4191.410156,4201.282227,4193.461426,4191.282227,3213.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1589528098.614092,103.000000,0.000000,4189.615234,4202.948730,4199.743652,4191.410156,4208.846191,4197.563965,4199.743652,4208.333496,4210.384766,4218.333496,4184.871582,4202.051270,4189.230957,4185.000000,3163.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1589528098.621816,104.000000,0.000000,4191.282227,4204.102539,4199.743652,4191.794922,4211.666504,4202.563965,4205.384766,4208.205078,4212.948730,4217.563965,4183.589844,4199.871582,4187.436035,4184.871582,3376.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,26.000000,0.000000,0.337600,-0.487122,-0.503967,-0.628296,0.951186,0.284672,0.023926,-84.339668,-114.097809,36.935989
1589528098.629640,105.000000,0.000000,4188.846191,4203.974121,4197.563965,4193.077148,4211.666504,4206.666504,4209.743652,4206.025879,4207.563965,4220.000000,4186.922852,4198.461426,4186.666504,4188.717773,3383.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1589528098.637364,106.000000,0.000000,4189.615234,4204.871582,4189.230957,4193.461426,4206.794922,4200.769043,4205.000000,4207.948730,4202.051270,4219.743652,4180.641113,4198.077148,4182.436035,4186.666504,3213.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1589528098.645188,107.000000,0.000000,4197.563965,4210.897461,4185.769043,4189.743652,4206.282227,4204.102539,4206.922852,4213.461426,4202.563965,4216.282227,4172.820313,4199.358887,4182.179688,4183.333496,3163.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1589528098.652912,108.000000,0.000000,4203.461426,4214.743652,4196.025879,4186.025879,4216.153809,4218.589844,4217.179688,4213.205078,4206.922852,4214.871582,4175.384766,4203.077148,4188.717773,4192.179688,3376.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,27.000000,0.000000,0.336380,-0.487793,-0.503601,-0.628723,0.967788,0.274418,0.008301,-84.339668,-114.396889,38.281834
1589528098.660736,109.000000,0.000000,4200.897461,4205.641113,4201.282227,4187.307617,4219.615234,4222.948730,4213.974121,4208.974121,4213.333496,4216.410156,4183.333496,4204.615234,4205.512695,4202.051270,3383.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1589528098.668460,110.000000,0.000000,4199.230957,4202.179688,4197.179688,4191.538574,4212.692383,4215.000000,4202.307617,4206.538574,4214.358887,4219.102539,4186.282227,4202.563965,4219.230957,4197.820313,3213.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1589528098.676284,111.000000,0.000000,4200.256348,4213.717773,4196.153809,4196.153809,4213.717773,4210.512695,4201.025879,4201.410156,4202.692383,4219.358887,4181.282227,4200.512695,4217.436035,4192.563965,3163.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1589528098.684007,112.000000,0.000000,4202.307617,4217.051270,4200.128418,4199.102539,4217.948730,4214.871582,4206.025879,4203.205078,4201.282227,4219.230957,4180.000000,4202.436035,4219.358887,4198.717773,3376.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,28.000000,0.000000,0.334786,-0.489014,-0.502869,-0.629211,0.949722,0.284672,0.008301,-85.236893,-114.995041,38.580910
1589528098.691932,113.000000,0.000000,4204.487305,4211.666504,4201.282227,4199.102539,4216.410156,4213.589844,4202.820313,4211.025879,4213.589844,4224.743652,4184.615234,4210.384766,4222.692383,4202.563965,3383.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1589528098.699756,114.000000,0.000000,4203.717773,4214.230957,4200.769043,4196.922852,4216.666504,4203.589844,4198.589844,4214.615234,4217.820313,4230.897461,4188.077148,4213.589844,4216.794922,4200.769043,3213.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
