0,1,2,3,4,5,6,7,8,9,10,11,12,13
4218.846,4206.667,4211.154,4204.744,4204.872,4201.41,4203.59,4214.487,4193.846,4201.923,4210.769,4238.077,4203.462,4210.256
4216.41,4208.462,4218.718,4210.256,4208.718,4204.744,4204.615,4215.256,4194.231,4225.769,4219.615,4247.564,4200.769,4209.744
4215.641,4198.59,4215.385,4207.051,4207.308,4206.923,4210.769,4229.615,4206.923,4240.513,4226.538,4255.128,4196.154,4212.949
4213.077,4194.359,4201.154,4197.436,4198.718,4204.872,4210.513,4237.051,4205.0,4223.718,4218.462,4248.205,4178.974,4211.667
4203.974,4188.077,4192.051,4189.487,4199.103,4203.846,4199.872,4223.462,4190.128,4208.205,4209.615,4237.179,4160.256,4202.051
4199.744,4176.667,4197.308,4187.564,4205.897,4203.077,4195.128,4214.359,4183.59,4204.103,4202.821,4228.718,4145.256,4192.051
4202.051,4176.667,4201.282,4190.769,4204.231,4201.026,4201.538,4212.949,4180.0,4211.923,4205.385,4227.821,4144.615,4194.487
4209.359,4184.872,4198.462,4196.154,4197.051,4208.462,4213.846,4225.0,4201.41,4233.462,4218.974,4235.641,4155.256,4206.282
4211.154,4180.128,4196.667,4197.949,4191.282,4213.974,4220.385,4248.718,4237.051,4246.923,4222.692,4239.487,4151.667,4210.385
4197.179,4164.487,4193.462,4195.0,4194.359,4206.667,4214.487,4234.744,4212.179,4231.282,4213.846,4235.641,4137.692,4204.872
4189.487,4154.615,4194.744,4190.128,4205.385,4204.872,4204.744,4204.872,4173.462,4213.205,4201.026,4230.256,4125.897,4194.615
4192.821,4151.41,4195.128,4181.795,4205.769,4207.436,4200.0,4222.821,4213.462,4220.769,4194.487,4223.974,4115.897,4184.744
4190.0,4150.513,4190.385,4180.0,4192.821,4200.641,4202.179,4241.41,4238.59,4234.103,4201.154,4221.538,4119.487,4187.051
4182.821,4146.282,4188.333,4180.385,4184.744,4197.051,4201.667,4215.769,4186.923,4222.564,4201.282,4219.103,4124.744,4188.462
4181.282,4147.179,4188.333,4179.487,4188.974,4206.026,4197.692,4206.026,4174.744,4205.385,4192.436,4216.538,4120.0,4182.436
4193.846,4162.308,4193.333,4190.513,4192.692,4211.41,4199.744,4220.513,4206.667,4212.564,4203.333,4227.821,4135.513,4194.615
4206.154,4173.59,4202.436,4201.923,4194.615,4212.308,4201.154,4219.872,4203.333,4226.282,4226.538,4245.128,4166.923,4216.41
4204.359,4169.615,4207.308,4201.026,4198.59,4216.41,4200.0,4225.385,4199.359,4235.385,4235.513,4252.308,4175.256,4219.744
4206.41,4170.641,4209.231,4200.641,4197.051,4214.487,4208.718,4248.718,4220.513,4234.744,4233.462,4253.718,4169.615,4223.718
4216.282,4183.718,4212.436,4205.769,4189.487,4208.333,4217.308,4252.564,4225.513,4222.564,4236.026,4260.0,4175.769,4239.359
4226.41,4194.103,4215.513,4203.205,4186.026,4204.487,4209.872,4219.615,4195.641,4215.385,4235.256,4259.231,4178.077,4243.462
4236.282,4204.615,4217.436,4206.667,4189.872,4204.103,4200.769,4195.128,4167.821,4217.436,4230.513,4250.128,4171.154,4245.513
4243.077,4219.744,4222.564,4227.308,4189.359,4201.923,4198.718,4200.641,4166.795,4215.0,4238.974,4256.026,4182.949,4261.923
4250.897,4225.0,4230.0,4235.256,4185.513,4201.282,4201.795,4218.462,4194.359,4215.769,4251.538,4271.282,4205.385,4271.154
4250.385,4216.923,4227.436,4224.103,4184.872,4199.359,4208.59,4235.128,4221.41,4227.692,4251.41,4273.846,4201.667,4262.692
4245.385,4210.256,4221.41,4217.692,4188.077,4199.359,4202.949,4229.103,4211.795,4230.769,4243.846,4263.718,4187.179,4258.077
4246.026,4212.179,4224.744,4220.385,4196.154,4208.077,4191.026,4208.205,4185.0,4218.846,4237.436,4260.641,4187.821,4262.821
4239.744,4216.282,4226.026,4217.436,4201.667,4209.359,4193.846,4215.897,4187.179,4214.872,4233.205,4264.615,4184.487,4257.564
4231.282,4215.897,4219.615,4210.513,4196.538,4203.077,4205.256,4240.641,4221.538,4227.436,4233.846,4261.026,4178.462,4247.308
4226.795,4204.231,4213.974,4210.0,4192.692,4208.974,4211.538,4230.256,4221.667,4235.641,4236.923,4253.974,4184.359,4245.128
4221.923,4191.667,4212.051,4206.538,4199.487,4218.846,4214.615,4205.769,4192.179,4228.077,4233.974,4248.333,4181.795,4237.692
